01-07-2020 18:23:18.142,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM4 - 9600/8/N/1/N,1"
01-07-2020 18:23:06.847,2487,RECV,31300D0A37302E31300D0A36392E31300D0A36392E31
01-07-2020 18:23:06.995,2488,RECV,300D0A36392E31300D0A36392E31300D0A36382E37370D0A36382E37370D0A36382E37370D0A36382E37370D0A36
01-07-2020 18:23:06.995,2489,RECV,382E37370D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A3637
01-07-2020 18:23:07.003,2490,RECV,2E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A
01-07-2020 18:23:07.055,2491,RECV,36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34340D0A36372E34
01-07-2020 18:23:07.175,2492,RECV,340D0A36372E34340D0A36372E34340D0A36352E30390D0A36352E30390D0A36352E30390D0A36352E30390D0A3635
01-07-2020 18:23:07.175,2493,RECV,2E30370D0A36352E30370D0A36352E30370D0A36352E30370D0A36352E30370D0A36342E30330D0A36342E30330D
01-07-2020 18:23:07.211,2494,RECV,0A36342E30330D0A36342E30330D0A36332E33360D0A36332E33360D0A36332E33360D0A36332E33360D0A36332E33360D0A36332E30320D0A36332E30
01-07-2020 18:23:07.263,2495,RECV,320D0A36332E30320D0A36332E30320D0A36332E33360D0A36332E33360D0A36332E33360D0A36332E33360D0A36
01-07-2020 18:23:07.359,2496,RECV,332E33360D0A36322E32380D0A36322E32380D0A36322E32380D0A36322E32380D0A36322E30320D0A36322E3032
01-07-2020 18:23:07.367,2497,RECV,0D0A36322E30320D0A36322E30320D0A36322E30320D0A36312E36380D0A36312E36380D0A36312E36380D
01-07-2020 18:23:07.679,2498,RECV,0D0A35392E37390D0A35392E37390D0A35
01-07-2020 18:23:07.731,2499,RECV,392E37390D0A35392E37390D0A35392E37390D0A35392E37390D0A35392E37390D0A35392E35310D0A35392E3531
01-07-2020 18:23:07.851,2500,RECV,0D0A35392E35310D0A35392E35310D0A35392E35310D0A35392E35360D0A35392E35360D0A35392E35360D0A3539
01-07-2020 18:23:07.851,2501,RECV,2E35360D0A35392E35360D0A35392E35360D0A35392E35360D0A35392E35360D0A35392E35360D0A35382E39370D0A35382E39370D0A35382E39370D0A
01-07-2020 18:23:07.887,2502,RECV,35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E3937
01-07-2020 18:23:07.939,2503,RECV,0D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A3538
01-07-2020 18:23:08.035,2504,RECV,2E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35382E39370D0A35392E32390D
01-07-2020 18:23:08.043,2505,RECV,0A35392E32390D0A35392E32390D0A35392E32390D0A35392E32390D0A35392E32390D0A35392E32390D0A35392E32390D0A35392E32390D0A35382E39
