01-07-2020 13:57:35.537,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM3 - 9600/8/N/1/N,1,23"

01-07-2020 13:57:31.417,1548,RECV,360D0A3130362E33360D0A3130362E33360D0A3130362E35300D0A3130362E35300D0A3130362E35300D0A313036
01-07-2020 13:57:31.417,1549,RECV,2E35300D0A3130362E33310D0A3130362E33310D0A3130362E33310D0A3130352E39330D0A3130352E36380D0A31
01-07-2020 13:57:31.460,1550,RECV,30352E36380D0A3130352E36380D0A3130352E30350D0A3130352E30350D0A3130352E30350D0A3130352E30350D0A3130352E30350D0A3130352E3035
01-07-2020 13:57:31.510,1551,RECV,0D0A3130352E30350D0A3130352E30350D0A3130332E38330D0A3130332E38330D0A3130332E38330D0A3130332E38
01-07-2020 13:57:31.579,1552,RECV,330D0A3130342E39330D0A3130342E39330D0A3130342E39330D0A3130352E30350D0A3130352E30350D0A313035
01-07-2020 13:57:31.612,1553,RECV,2E30350D0A3130352E30350D0A3130352E37340D0A3130352E37340D0A3130352E37340D0A3130352E37340D0A31
01-07-2020 13:57:31.662,1554,RECV,30352E37340D0A3130352E37340D0A3130352E37340D0A3130352E37340D0A3130362E30300D0A3130362E30300D
01-07-2020 13:57:31.750,1555,RECV,0A3130362E30300D0A3130362E30300D0A3130362E30300D0A3130362E30300D0A3130362E30300D0A3130352E32
01-07-2020 13:57:31.763,1556,RECV,340D0A3130352E32340D0A3130352E32340D0A3130352E32340D0A3130342E35310D0A3130342E35310D0A313034
01-07-2020 13:57:31.813,1557,RECV,2E35310D0A3130342E35310D0A3130342E31350D0A3130342E31350D0A3130342E31350D0A3130342E31350D0A3130342E37350D0A3130342E37350D0A31
01-07-2020 13:57:31.928,1558,RECV,30342E37350D0A3130352E31320D0A3130352E31320D0A3130352E31320D0A3130352E31320D0A3130352E37340D
01-07-2020 13:57:31.929,1559,RECV,0A3130352E37340D0A3130352E37340D0A3130352E37340D0A3130352E37340D0A3130352E37340D0A3130352E37
01-07-2020 13:57:31.965,1560,RECV,340D0A3130352E37340D0A3130362E38390D0A3130362E38390D0A3130362E38390D0A3130362E38390D0A313036
01-07-2020 13:57:32.016,1561,RECV,2E30360D0A3130362E30360D0A3130362E30360D0A3130352E36380D0A3130352E36380D0A3130352E36380D0A31
01-07-2020 13:57:32.091,1562,RECV,30352E36380D0A3130352E33300D0A3130352E33300D0A3130352E33300D0A3130352E33300D0A3130352E33300D
01-07-2020 13:57:32.117,1563,RECV,0A3130352E33300D0A3130352E33300D0A3130352E33300D0A3130342E32360D0A3130342E32360D0A3130342E32360D0A3130342E32360D0A3130342E32
01-07-2020 13:57:32.168,1564,RECV,360D0A3130342E32360D0A3130342E32360D0A3130352E35350D0A3130352E35350D0A3130352E35350D0A313035
01-07-2020 13:57:32.220,1565,RECV,2E35350D0A3130362E35360D0A3130362E35360D0A3130362E35360D0A3130362E35360D0A3130362E35360D0A31
01-07-2020 13:57:32.269,1566,RECV,30362E35360D0A3130362E35360D0A3130362E35360D0A3130362E30360D0A3130362E30360D0A3130362E30360D
01-07-2020 13:57:32.463,1567,RECV,0A3130362E30360D0A3130362E30360D0A3130362E30360D0A3130362E30360D0A3130352E33300D0A3130352E33
01-07-2020 13:57:32.464,1568,RECV,300D0A3130352E33300D0A3130352E33300D0A3130342E33330D0A3130342E33330D0A3130342E33330D0A313034
01-07-2020 13:57:32.464,1569,RECV,2E33330D0A3130332E39300D0A3130332E39300D0A3130332E39300D0A3130332E39300D0A3130352E31320D0A3130352E31320D0A3130352E31320D0A31
01-07-2020 13:57:32.472,1570,RECV,30352E33300D0A3130352E33300D0A3130352E33300D0A3130352E33300D0A3130362E31370D0A3130362E31370D
01-07-2020 13:57:32.522,1571,RECV,0A3130362E31370D0A3130362E31370D0A3130362E31370D0A3130362E31370D0A3130362E31370D0A3130362E31
01-07-2020 13:57:32.603,1572,RECV,370D0A3130362E32350D0A3130362E32350D0A3130362E32350D0A3130362E32350D0A3130352E39330D0A313035
01-07-2020 13:57:32.623,1573,RECV,2E39330D0A3130352E39330D0A3130352E30350D0A3130352E30350D0A3130352E30350D0A3130352E30350D0A31
01-07-2020 13:57:32.674,1574,RECV,30342E36390D0A3130342E36390D0A3130342E36390D0A3130342E36390D0A3130342E36390D0A3130342E36390D0A
01-07-2020 13:57:32.777,1575,RECV,3130342E36390D0A3130342E36390D0A3130342E32360D0A3130342E32360D0A3130342E32360D0A3130342E32360D0A3130342E32360D0A3130342E32
