01-07-2020 13:59:07.039,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM3 - 9600/8/N/1/N,1,23"
01-07-2020 13:58:59.439,200,RECV,33300D0A34362E33300D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34352E39380D0A34
01-07-2020 13:58:59.489,201,RECV,352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34342E30320D
01-07-2020 13:58:59.575,202,RECV,0A34342E30320D0A34342E30320D0A34342E30320D0A34342E30320D0A34342E30320D0A34342E30320D0A34342E
01-07-2020 13:58:59.590,203,RECV,30320D0A34342E30320D0A34342E30320D0A34342E30320D0A34342E30320D0A34342E30320D0A34352E34320D0A
01-07-2020 13:58:59.641,204,RECV,34352E34320D0A34352E34320D0A34352E34320D0A34352E34320D0A34362E32340D0A34362E32340D0A34362E32
01-07-2020 13:58:59.711,205,RECV,340D0A34362E32340D0A34362E32340D0A34362E32340D0A34362E32340D0A34362E32340D0A34362E34340D0A3436
01-07-2020 13:58:59.742,206,RECV,2E34340D0A34362E34340D0A34362E34340D0A34362E34340D0A34352E30300D0A34352E30300D0A34352E30300D
01-07-2020 13:58:59.792,207,RECV,0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34352E30300D0A34342E31360D0A34342E31360D0A34342E31360D0A34342E31
01-07-2020 13:58:59.856,208,RECV,360D0A34342E31360D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E31390D0A34342E39360D0A34
01-07-2020 13:58:59.893,209,RECV,342E39360D0A34342E39360D0A34342E39360D0A34352E31340D0A34352E31340D0A34352E31340D0A34352E3134
01-07-2020 13:58:59.943,210,RECV,0D0A34352E31340D0A34362E31310D0A34362E31310D0A34362E31310D0A34362E31310D0A34362E38330D0A34362E
01-07-2020 13:59:00.027,211,RECV,38330D0A34362E38330D0A34362E38330D0A34362E33300D0A34362E33300D0A34362E33300D0A34362E33300D0A
